,match_id,match_date,home_team,away_team,home_score,away_score,team,player,pass_recipient,timestamp,period,minute,X_pass_start,Y_pass_start,X_pass_end,Y_pass_end,shot_outcome,player_id,type,X,Y,color,round_minute,penalty
2533,3869685,2022-12-18,Argentina,France,3,3,France,Raphaël Varane,Hugo Lloris,2023-12-16 00:11:42.151,1,11.7,8.0,22.0,2.6,29.0,,,,,,,12,No
8713,3869354,2022-12-10,England,France,1,2,England,John Stones,Declan Rice,2023-12-16 00:11:42.608,1,11.7,53.2,42.7,56.7,32.8,,,,,,,12,No
182,3869151,2022-12-03,Argentina,Australia,2,1,Argentina,Julián Álvarez,Alexis Mac Allister,2023-12-16 00:11:44.398,1,11.733333333333333,80.4,54.2,82.3,50.8,,,,,,,12,No
10535,3869152,2022-12-04,France,Poland,3,1,France,Dayotchanculle Upamecano,Aurélien Djani Tchouaméni,2023-12-16 00:11:44.783,1,11.733333333333333,39.5,30.8,50.4,43.6,,,,,,,12,No
5809,3869519,2022-12-13,Argentina,Croatia,3,0,Croatia,Dejan Lovren,Marcelo Brozović,2023-12-16 00:11:44.921,1,11.733333333333333,58.2,35.2,67.6,25.5,,,,,,,12,No
9640,3869552,2022-12-14,France,Morocco,2,0,France,Youssouf Fofana,Kylian Mbappé Lottin,2023-12-16 00:11:44.751,1,11.733333333333333,64.0,3.1,69.3,12.0,,,,,,,12,No
6740,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Argentina,Damián Emiliano Martínez,Cristian Gabriel Romero,2023-12-16 00:11:45.117,1,11.75,6.0,44.0,10.3,53.2,,,,,,,12,No
1307,3869321,2022-12-09,Netherlands,Argentina,2,2,Argentina,Nahuel Molina Lucero,Lionel Andrés Messi Cuccittini,2023-12-16 00:11:45.245,1,11.75,57.1,77.0,56.4,65.0,,,,,,,12,No
8714,3869354,2022-12-10,England,France,1,2,England,Declan Rice,Luke Shaw,2023-12-16 00:11:45.509,1,11.75,63.4,24.4,75.3,2.0,,,,,,,12,No
5810,3869519,2022-12-13,Argentina,Croatia,3,0,Croatia,Marcelo Brozović,Mateo Kovačić,2023-12-16 00:11:46.480,1,11.766666666666667,68.2,24.8,76.5,21.5,,,,,,,12,No
3658,3857264,2022-11-30,Poland,Argentina,0,2,Argentina,Ángel Fabián Di María Hernández,Lionel Andrés Messi Cuccittini,2023-12-16 00:11:46.153,1,11.766666666666667,96.3,66.4,117.2,47.8,,,,,,,12,No
2534,3869685,2022-12-18,Argentina,France,3,3,Argentina,Nahuel Molina Lucero,Enzo Fernandez,2023-12-16 00:11:46.879,1,11.766666666666667,67.0,60.9,64.7,49.3,,,,,,,12,No
10536,3869152,2022-12-04,France,Poland,3,1,France,Aurélien Djani Tchouaméni,Jules Koundé,2023-12-16 00:11:47.419,1,11.783333333333333,52.2,45.2,60.1,66.1,,,,,,,12,No
